After iteration 80: w(A1) = -0.0657, w(A2) = 0.0099, w(A3) = -0.0362, w(A4) = -0.0639, w(A5) = -0.1129, w(A6) = -0.4089, w(A7) = -0.5014, w(A8) = -0.3556, w(A9) = -0.0678, w(A10) = -0.0802, w(A11) = 0.3080, w(A12) = -0.6590, w(A13) = -0.8386, output = 0.1429
After iteration 81: w(A1) = -0.0657, w(A2) = 0.1327, w(A3) = 0.0866, w(A4) = -0.0639, w(A5) = -0.1129, w(A6) = -0.4089, w(A7) = -0.3786, w(A8) = -0.3556, w(A9) = 0.0550, w(A10) = 0.0427, w(A11) = 0.4308, w(A12) = -0.6590, w(A13) = -0.7158, output = 0.4142
After iteration 82: w(A1) = -0.1079, w(A2) = 0.0905, w(A3) = 0.0866, w(A4) = -0.0639, w(A5) = -0.1551, w(A6) = -0.4089, w(A7) = -0.4208, w(A8) = -0.3556, w(A9) = 0.0550, w(A10) = 0.0004, w(A11) = 0.4308, w(A12) = -0.6590, w(A13) = -0.7581, output = 0.2057
After iteration 83: w(A1) = -0.1372, w(A2) = 0.0905, w(A3) = 0.0866, w(A4) = -0.0639, w(A5) = -0.1844, w(A6) = -0.4382, w(A7) = -0.4208, w(A8) = -0.3556, w(A9) = 0.0257, w(A10) = -0.0289, w(A11) = 0.4308, w(A12) = -0.6590, w(A13) = -0.7874, output = 0.1750
After iteration 84: w(A1) = -0.1372, w(A2) = 0.0401, w(A3) = 0.0866, w(A4) = -0.1142, w(A5) = -0.2347, w(A6) = -0.4885, w(A7) = -0.4208, w(A8) = -0.3556, w(A9) = 0.0257, w(A10) = -0.0289, w(A11) = 0.3805, w(A12) = -0.6590, w(A13) = -0.8377, output = 0.2219
After iteration 85: w(A1) = -0.1372, w(A2) = 0.0355, w(A3) = 0.0819, w(A4) = -0.1142, w(A5) = -0.2394, w(A6) = -0.4932, w(A7) = -0.4255, w(A8) = -0.3556, w(A9) = 0.0257, w(A10) = -0.0289, w(A11) = 0.3805, w(A12) = -0.6637, w(A13) = -0.8423, output = 0.0726
After iteration 86: w(A1) = -0.1372, w(A2) = 0.0215, w(A3) = 0.0819, w(A4) = -0.1282, w(A5) = -0.2533, w(A6) = -0.4932, w(A7) = -0.4394, w(A8) = -0.3556, w(A9) = 0.0257, w(A10) = -0.0289, w(A11) = 0.3666, w(A12) = -0.6776, w(A13) = -0.8563, output = 0.1228
After iteration 87: w(A1) = -0.1410, w(A2) = 0.0177, w(A3) = 0.0819, w(A4) = -0.1320, w(A5) = -0.2533, w(A6) = -0.4970, w(A7) = -0.4394, w(A8) = -0.3594, w(A9) = 0.0257, w(A10) = -0.0289, w(A11) = 0.3666, w(A12) = -0.6814, w(A13) = -0.8601, output = 0.0658
After iteration 88: w(A1) = -0.1569, w(A2) = 0.0018, w(A3) = 0.0661, w(A4) = -0.1320, w(A5) = -0.2533, w(A6) = -0.5129, w(A7) = -0.4394, w(A8) = -0.3753, w(A9) = 0.0257, w(A10) = -0.0447, w(A11) = 0.3666, w(A12) = -0.6814, w(A13) = -0.8760, output = 0.1304
After iteration 89: w(A1) = -0.1628, w(A2) = -0.0041, w(A3) = 0.0661, w(A4) = -0.1320, w(A5) = -0.2592, w(A6) = -0.5129, w(A7) = -0.4453, w(A8) = -0.3753, w(A9) = 0.0198, w(A10) = -0.0447, w(A11) = 0.3666, w(A12) = -0.6873, w(A13) = -0.8819, output = 0.0816
After iteration 90: w(A1) = -0.0554, w(A2) = -0.0041, w(A3) = 0.0661, w(A4) = -0.1320, w(A5) = -0.2592, w(A6) = -0.4055, w(A7) = -0.4453, w(A8) = -0.2679, w(A9) = 0.1272, w(A10) = -0.0447, w(A11) = 0.4740, w(A12) = -0.6873, w(A13) = -0.7745, output = 0.2886
After iteration 91: w(A1) = -0.0735, w(A2) = -0.0041, w(A3) = 0.0479, w(A4) = -0.1501, w(A5) = -0.2592, w(A6) = -0.4236, w(A7) = -0.4453, w(A8) = -0.2860, w(A9) = 0.1091, w(A10) = -0.0629, w(A11) = 0.4558, w(A12) = -0.7055, w(A13) = -0.7926, output = 0.1322
After iteration 92: w(A1) = 0.0100, w(A2) = 0.0794, w(A3) = 0.1314, w(A4) = -0.0666, w(A5) = -0.2592, w(A6) = -0.3401, w(A7) = -0.4453, w(A8) = -0.2025, w(A9) = 0.1091, w(A10) = 0.0206, w(A11) = 0.5393, w(A12) = -0.6220, w(A13) = -0.7091, output = 0.2387
After iteration 93: w(A1) = 0.0100, w(A2) = 0.0794, w(A3) = 0.1314, w(A4) = -0.0666, w(A5) = -0.2741, w(A6) = -0.3550, w(A7) = -0.4602, w(A8) = -0.2174, w(A9) = 0.0942, w(A10) = 0.0057, w(A11) = 0.5393, w(A12) = -0.6220, w(A13) = -0.7240, output = 0.1266
After iteration 94: w(A1) = 0.0100, w(A2) = 0.0794, w(A3) = 0.1314, w(A4) = -0.0666, w(A5) = -0.1875, w(A6) = -0.2684, w(A7) = -0.3736, w(A8) = -0.1308, w(A9) = 0.1808, w(A10) = 0.0057, w(A11) = 0.5393, w(A12) = -0.6220, w(A13) = -0.6374, output = 0.1952
After iteration 95: w(A1) = -0.0051, w(A2) = 0.0794, w(A3) = 0.1314, w(A4) = -0.0817, w(A5) = -0.1875, w(A6) = -0.2684, w(A7) = -0.3887, w(A8) = -0.1458, w(A9) = 0.1808, w(A10) = 0.0057, w(A11) = 0.5393, w(A12) = -0.6370, w(A13) = -0.6524, output = 0.1289
After iteration 96: w(A1) = 0.1282, w(A2) = 0.2127, w(A3) = 0.1314, w(A4) = 0.0516, w(A5) = -0.1875, w(A6) = -0.2684, w(A7) = -0.2554, w(A8) = -0.0126, w(A9) = 0.1808, w(A10) = 0.1390, w(A11) = 0.6726, w(A12) = -0.6370, w(A13) = -0.5192, output = 0.6027
After iteration 97: w(A1) = 0.1882, w(A2) = 0.2728, w(A3) = 0.1915, w(A4) = 0.0516, w(A5) = -0.1875, w(A6) = -0.2684, w(A7) = -0.2554, w(A8) = 0.0475, w(A9) = 0.2409, w(A10) = 0.1390, w(A11) = 0.7327, w(A12) = -0.6370, w(A13) = -0.4591, output = 0.7711
After iteration 98: w(A1) = 0.1882, w(A2) = 0.2728, w(A3) = 0.1915, w(A4) = 0.0516, w(A5) = -0.1875, w(A6) = -0.3685, w(A7) = -0.3555, w(A8) = -0.0526, w(A9) = 0.2409, w(A10) = 0.1390, w(A11) = 0.6326, w(A12) = -0.6370, w(A13) = -0.5592, output = 0.3311
After iteration 99: w(A1) = 0.1882, w(A2) = 0.2728, w(A3) = 0.1915, w(A4) = 0.0516, w(A5) = -0.1875, w(A6) = -0.3685, w(A7) = -0.3555, w(A8) = -0.0526, w(A9) = 0.2409, w(A10) = 0.1390, w(A11) = 0.6326, w(A12) = -0.6743, w(A13) = -0.5964, output = 0.2191
After iteration 100: w(A1) = 0.1882, w(A2) = 0.3243, w(A3) = 0.2431, w(A4) = 0.1031, w(A5) = -0.1875, w(A6) = -0.3685, w(A7) = -0.3555, w(A8) = -0.0526, w(A9) = 0.2924, w(A10) = 0.1905, w(A11) = 0.6841, w(A12) = -0.6743, w(A13) = -0.5449, output = 0.7846
After iteration 101: w(A1) = 0.1882, w(A2) = 0.2106, w(A3) = 0.2431, w(A4) = 0.1031, w(A5) = -0.3012, w(A6) = -0.3685, w(A7) = -0.3555, w(A8) = -0.1664, w(A9) = 0.1787, w(A10) = 0.0768, w(A11) = 0.6841, w(A12) = -0.6743, w(A13) = -0.6586, output = 0.3407
After iteration 102: w(A1) = 0.3057, w(A2) = 0.3280, w(A3) = 0.3605, w(A4) = 0.1031, w(A5) = -0.1838, w(A6) = -0.2511, w(A7) = -0.3555, w(A8) = -0.0489, w(A9) = 0.1787, w(A10) = 0.1942, w(A11) = 0.8015, w(A12) = -0.6743, w(A13) = -0.5412, output = 0.7241
After iteration 103: w(A1) = 0.3057, w(A2) = 0.2170, w(A3) = 0.2495, w(A4) = -0.0078, w(A5) = -0.1838, w(A6) = -0.2511, w(A7) = -0.4665, w(A8) = -0.1599, w(A9) = 0.1787, w(A10) = 0.1942, w(A11) = 0.6906, w(A12) = -0.7852, w(A13) = -0.6522, output = 0.2861
After iteration 104: w(A1) = 0.3979, w(A2) = 0.3093, w(A3) = 0.2495, w(A4) = -0.0078, w(A5) = -0.0916, w(A6) = -0.1588, w(A7) = -0.4665, w(A8) = -0.1599, w(A9) = 0.1787, w(A10) = 0.2865, w(A11) = 0.7828, w(A12) = -0.7852, w(A13) = -0.5599, output = 0.7243
After iteration 105: w(A1) = 0.3979, w(A2) = 0.3093, w(A3) = 0.2495, w(A4) = -0.0078, w(A5) = -0.0916, w(A6) = -0.1588, w(A7) = -0.5042, w(A8) = -0.1976, w(A9) = 0.1787, w(A10) = 0.2865, w(A11) = 0.7828, w(A12) = -0.7852, w(A13) = -0.5977, output = 0.2142
After iteration 106: w(A1) = 0.3002, w(A2) = 0.2116, w(A3) = 0.1518, w(A4) = -0.1056, w(A5) = -0.1893, w(A6) = -0.1588, w(A7) = -0.5042, w(A8) = -0.1976, w(A9) = 0.1787, w(A10) = 0.1887, w(A11) = 0.7828, w(A12) = -0.8829, w(A13) = -0.6954, output = 0.2649
After iteration 107: w(A1) = 0.3002, w(A2) = 0.1568, w(A3) = 0.1518, w(A4) = -0.1603, w(A5) = -0.2440, w(A6) = -0.1588, w(A7) = -0.5042, w(A8) = -0.1976, w(A9) = 0.1787, w(A10) = 0.1887, w(A11) = 0.7281, w(A12) = -0.9377, w(A13) = -0.7501, output = 0.2302
After iteration 108: w(A1) = 0.3002, w(A2) = 0.1568, w(A3) = 0.1518, w(A4) = -0.1603, w(A5) = -0.3399, w(A6) = -0.1588, w(A7) = -0.5042, w(A8) = -0.1976, w(A9) = 0.1787, w(A10) = 0.1887, w(A11) = 0.6321, w(A12) = -0.9377, w(A13) = -0.8460, output = 0.3650
After iteration 109: w(A1) = 0.3002, w(A2) = 0.1458, w(A3) = 0.1408, w(A4) = -0.1713, w(A5) = -0.3509, w(A6) = -0.1698, w(A7) = -0.5152, w(A8) = -0.2086, w(A9) = 0.1787, w(A10) = 0.1778, w(A11) = 0.6212, w(A12) = -0.9487, w(A13) = -0.8570, output = 0.1056
After iteration 110: w(A1) = 0.2960, w(A2) = 0.1458, w(A3) = 0.1408, w(A4) = -0.1755, w(A5) = -0.3551, w(A6) = -0.1698, w(A7) = -0.5194, w(A8) = -0.2128, w(A9) = 0.1745, w(A10) = 0.1778, w(A11) = 0.6212, w(A12) = -0.9529, w(A13) = -0.8612, output = 0.0687
After iteration 111: w(A1) = 0.2960, w(A2) = 0.1192, w(A3) = 0.1408, w(A4) = -0.1755, w(A5) = -0.3551, w(A6) = -0.1964, w(A7) = -0.5460, w(A8) = -0.2394, w(A9) = 0.1479, w(A10) = 0.1778, w(A11) = 0.6212, w(A12) = -0.9529, w(A13) = -0.8878, output = 0.1676
After iteration 112: w(A1) = 0.2960, w(A2) = 0.0781, w(A3) = 0.1408, w(A4) = -0.1755, w(A5) = -0.3551, w(A6) = -0.2375, w(A7) = -0.5460, w(A8) = -0.2394, w(A9) = 0.1479, w(A10) = 0.1366, w(A11) = 0.5800, w(A12) = -0.9940, w(A13) = -0.9289, output = 0.2033
After iteration 113: w(A1) = 0.2960, w(A2) = 0.0781, w(A3) = 0.1408, w(A4) = -0.1755, w(A5) = -0.3636, w(A6) = -0.2460, w(A7) = -0.5545, w(A8) = -0.2479, w(A9) = 0.1479, w(A10) = 0.1282, w(A11) = 0.5800, w(A12) = -0.9940, w(A13) = -0.9374, output = 0.0979
After iteration 114: w(A1) = 0.2839, w(A2) = 0.0781, w(A3) = 0.1287, w(A4) = -0.1755, w(A5) = -0.3757, w(A6) = -0.2460, w(A7) = -0.5545, w(A8) = -0.2600, w(A9) = 0.1358, w(A10) = 0.1282, w(A11) = 0.5800, w(A12) = -1.0061, w(A13) = -0.9495, output = 0.1148
After iteration 115: w(A1) = 0.2143, w(A2) = 0.0781, w(A3) = 0.0591, w(A4) = -0.1755, w(A5) = -0.4453, w(A6) = -0.2460, w(A7) = -0.5545, w(A8) = -0.2600, w(A9) = 0.0662, w(A10) = 0.0585, w(A11) = 0.5800, w(A12) = -1.0061, w(A13) = -1.0191, output = 0.2561
After iteration 116: w(A1) = 0.2143, w(A2) = 0.0781, w(A3) = 0.0591, w(A4) = -0.0428, w(A5) = -0.4453, w(A6) = -0.2460, w(A7) = -0.5545, w(A8) = -0.1273, w(A9) = 0.0662, w(A10) = 0.1912, w(A11) = 0.7127, w(A12) = -1.0061, w(A13) = -0.8865, output = 0.4619
After iteration 117: w(A1) = 0.2143, w(A2) = 0.0781, w(A3) = 0.0591, w(A4) = -0.0522, w(A5) = -0.4547, w(A6) = -0.2554, w(A7) = -0.5638, w(A8) = -0.1366, w(A9) = 0.0662, w(A10) = 0.1818, w(A11) = 0.7127, w(A12) = -1.0061, w(A13) = -0.8958, output = 0.1019
After iteration 118: w(A1) = 0.1939, w(A2) = 0.0577, w(A3) = 0.0387, w(A4) = -0.0522, w(A5) = -0.4547, w(A6) = -0.2758, w(A7) = -0.5638, w(A8) = -0.1366, w(A9) = 0.0662, w(A10) = 0.1614, w(A11) = 0.7127, w(A12) = -1.0265, w(A13) = -0.9162, output = 0.1460
After iteration 119: w(A1) = 0.1490, w(A2) = 0.0129, w(A3) = 0.0387, w(A4) = -0.0522, w(A5) = -0.4547, w(A6) = -0.2758, w(A7) = -0.5638, w(A8) = -0.1815, w(A9) = 0.0213, w(A10) = 0.1614, w(A11) = 0.6678, w(A12) = -1.0713, w(A13) = -0.9611, output = 0.2038
After iteration 120: w(A1) = 0.2818, w(A2) = 0.1456, w(A3) = 0.1714, w(A4) = 0.0805, w(A5) = -0.3219, w(A6) = -0.2758, w(A7) = -0.5638, w(A8) = -0.1815, w(A9) = 0.1540, w(A10) = 0.1614, w(A11) = 0.8006, w(A12) = -1.0713, w(A13) = -0.8283, output = 0.6186
After iteration 121: w(A1) = 0.2818, w(A2) = 0.1456, w(A3) = 0.2369, w(A4) = 0.0805, w(A5) = -0.2564, w(A6) = -0.2103, w(A7) = -0.5638, w(A8) = -0.1160, w(A9) = 0.1540, w(A10) = 0.2269, w(A11) = 0.8006, w(A12) = -1.0058, w(A13) = -0.7628, output = 0.1315
After iteration 122: w(A1) = 0.2818, w(A2) = 0.0807, w(A3) = 0.2369, w(A4) = 0.0805, w(A5) = -0.3214, w(A6) = -0.2103, w(A7) = -0.5638, w(A8) = -0.1160, w(A9) = 0.0891, w(A10) = 0.2269, w(A11) = 0.8006, w(A12) = -1.0058, w(A13) = -0.8278, output = 0.2730
After iteration 123: w(A1) = 0.2818, w(A2) = 0.0729, w(A3) = 0.2369, w(A4) = 0.0728, w(A5) = -0.3214, w(A6) = -0.2181, w(A7) = -0.5716, w(A8) = -0.1160, w(A9) = 0.0891, w(A10) = 0.2191, w(A11) = 0.8006, w(A12) = -1.0136, w(A13) = -0.8355, output = 0.0933
After iteration 124: w(A1) = 0.2736, w(A2) = 0.0648, w(A3) = 0.2288, w(A4) = 0.0646, w(A5) = -0.3295, w(A6) = -0.2181, w(A7) = -0.5798, w(A8) = -0.1242, w(A9) = 0.0891, w(A10) = 0.2191, w(A11) = 0.8006, w(A12) = -1.0218, w(A13) = -0.8437, output = 0.0939
After iteration 125: w(A1) = 0.2455, w(A2) = 0.0648, w(A3) = 0.2007, w(A4) = 0.0365, w(A5) = -0.3576, w(A6) = -0.2462, w(A7) = -0.6079, w(A8) = -0.1242, w(A9) = 0.0891, w(A10) = 0.2191, w(A11) = 0.8006, w(A12) = -1.0218, w(A13) = -0.8718, output = 0.1679
After iteration 126: w(A1) = 0.2455, w(A2) = 0.0548, w(A3) = 0.2007, w(A4) = 0.0265, w(A5) = -0.3576, w(A6) = -0.2561, w(A7) = -0.6079, w(A8) = -0.1341, w(A9) = 0.0792, w(A10) = 0.2191, w(A11) = 0.8006, w(A12) = -1.0317, w(A13) = -0.8818, output = 0.1050
After iteration 127: w(A1) = 0.2331, w(A2) = 0.0548, w(A3) = 0.2007, w(A4) = 0.0141, w(A5) = -0.3700, w(A6) = -0.2561, w(A7) = -0.6203, w(A8) = -0.1465, w(A9) = 0.0792, w(A10) = 0.2191, w(A11) = 0.7882, w(A12) = -1.0442, w(A13) = -0.8942, output = 0.1151
After iteration 128: w(A1) = 0.2331, w(A2) = 0.0548, w(A3) = 0.1734, w(A4) = 0.0141, w(A5) = -0.3973, w(A6) = -0.2834, w(A7) = -0.6203, w(A8) = -0.1739, w(A9) = 0.0518, w(A10) = 0.1918, w(A11) = 0.7609, w(A12) = -1.0715, w(A13) = -0.9215, output = 0.1585
After iteration 129: w(A1) = 0.2317, w(A2) = 0.0548, w(A3) = 0.1734, w(A4) = 0.0127, w(A5) = -0.3987, w(A6) = -0.2848, w(A7) = -0.6217, w(A8) = -0.1753, w(A9) = 0.0504, w(A10) = 0.1918, w(A11) = 0.7609, w(A12) = -1.0729, w(A13) = -0.9229, output = 0.0399
After iteration 130: w(A1) = 0.2317, w(A2) = 0.0879, w(A3) = 0.1734, w(A4) = 0.0127, w(A5) = -0.3656, w(A6) = -0.2517, w(A7) = -0.5885, w(A8) = -0.1421, w(A9) = 0.0836, w(A10) = 0.2249, w(A11) = 0.7609, w(A12) = -1.0397, w(A13) = -0.8898, output = 0.0531
After iteration 131: w(A1) = 0.1723, w(A2) = 0.0286, w(A3) = 0.1140, w(A4) = -0.0466, w(A5) = -0.3656, w(A6) = -0.2517, w(A7) = -0.5885, w(A8) = -0.2015, w(A9) = 0.0836, w(A10) = 0.2249, w(A11) = 0.7015, w(A12) = -1.0991, w(A13) = -0.9491, output = 0.2176
After iteration 132: w(A1) = 0.1723, w(A2) = 0.1174, w(A3) = 0.2028, w(A4) = 0.0422, w(A5) = -0.2768, w(A6) = -0.2517, w(A7) = -0.4997, w(A8) = -0.2015, w(A9) = 0.1724, w(A10) = 0.3137, w(A11) = 0.7903, w(A12) = -1.0103, w(A13) = -0.8603, output = 0.2673
After iteration 133: w(A1) = 0.1723, w(A2) = 0.1174, w(A3) = 0.2028, w(A4) = 0.0422, w(A5) = -0.3356, w(A6) = -0.3105, w(A7) = -0.5586, w(A8) = -0.2603, w(A9) = 0.1136, w(A10) = 0.2549, w(A11) = 0.7315, w(A12) = -1.0103, w(A13) = -0.9191, output = 0.2168
After iteration 134: w(A1) = 0.1616, w(A2) = 0.1067, w(A3) = 0.2028, w(A4) = 0.0422, w(A5) = -0.3463, w(A6) = -0.3212, w(A7) = -0.5586, w(A8) = -0.2603, w(A9) = 0.1136, w(A10) = 0.2442, w(A11) = 0.7315, w(A12) = -1.0210, w(A13) = -0.9298, output = 0.1085
After iteration 135: w(A1) = 0.1287, w(A2) = 0.1067, w(A3) = 0.1699, w(A4) = 0.0092, w(A5) = -0.3463, w(A6) = -0.3541, w(A7) = -0.5915, w(A8) = -0.2603, w(A9) = 0.0807, w(A10) = 0.2442, w(A11) = 0.7315, w(A12) = -1.0210, w(A13) = -0.9627, output = 0.1795
After iteration 136: w(A1) = 0.1287, w(A2) = 0.0438, w(A3) = 0.1699, w(A4) = -0.0536, w(A5) = -0.4091, w(A6) = -0.4170, w(A7) = -0.5915, w(A8) = -0.3231, w(A9) = 0.0178, w(A10) = 0.1814, w(A11) = 0.6686, w(A12) = -1.0210, w(A13) = -1.0256, output = 0.2114
After iteration 137: w(A1) = 0.1287, w(A2) = 0.0324, w(A3) = 0.1585, w(A4) = -0.0536, w(A5) = -0.4206, w(A6) = -0.4284, w(A7) = -0.5915, w(A8) = -0.3231, w(A9) = 0.0178, w(A10) = 0.1814, w(A11) = 0.6572, w(A12) = -1.0324, w(A13) = -1.0370, output = 0.1120
After iteration 138: w(A1) = 0.2420, w(A2) = 0.1457, w(A3) = 0.1585, w(A4) = 0.0597, w(A5) = -0.3073, w(A6) = -0.3151, w(A7) = -0.5915, w(A8) = -0.2098, w(A9) = 0.1311, w(A10) = 0.1814, w(A11) = 0.7705, w(A12) = -1.0324, w(A13) = -0.9237, output = 0.3997
After iteration 139: w(A1) = 0.2420, w(A2) = 0.2725, w(A3) = 0.1585, w(A4) = 0.0597, w(A5) = -0.1804, w(A6) = -0.1883, w(A7) = -0.4646, w(A8) = -0.2098, w(A9) = 0.2580, w(A10) = 0.1814, w(A11) = 0.8973, w(A12) = -1.0324, w(A13) = -0.7969, output = 0.4496
After iteration 140: w(A1) = 0.2420, w(A2) = 0.2725, w(A3) = 0.1051, w(A4) = 0.0063, w(A5) = -0.2338, w(A6) = -0.2417, w(A7) = -0.4646, w(A8) = -0.2098, w(A9) = 0.2580, w(A10) = 0.1280, w(A11) = 0.8439, w(A12) = -1.0858, w(A13) = -0.8503, output = 0.2094
After iteration 141: w(A1) = 0.3188, w(A2) = 0.3493, w(A3) = 0.1051, w(A4) = 0.0831, w(A5) = -0.2338, w(A6) = -0.1649, w(A7) = -0.3878, w(A8) = -0.2098, w(A9) = 0.2580, w(A10) = 0.1280, w(A11) = 0.8439, w(A12) = -1.0090, w(A13) = -0.7735, output = 0.1702
After iteration 142: w(A1) = 0.4250, w(A2) = 0.4555, w(A3) = 0.2113, w(A4) = 0.1893, w(A5) = -0.1277, w(A6) = -0.1649, w(A7) = -0.3878, w(A8) = -0.2098, w(A9) = 0.3641, w(A10) = 0.1280, w(A11) = 0.8439, w(A12) = -1.0090, w(A13) = -0.6673, output = 0.7006
After iteration 143: w(A1) = 0.4250, w(A2) = 0.5881, w(A3) = 0.2113, w(A4) = 0.3219, w(A5) = 0.0049, w(A6) = -0.0323, w(A7) = -0.3878, w(A8) = -0.0773, w(A9) = 0.3641, w(A10) = 0.2606, w(A11) = 0.9765, w(A12) = -0.8765, w(A13) = -0.5347, output = 0.6527
After iteration 144: w(A1) = 0.3724, w(A2) = 0.5881, w(A3) = 0.1586, w(A4) = 0.2692, w(A5) = -0.0478, w(A6) = -0.0323, w(A7) = -0.4405, w(A8) = -0.1299, w(A9) = 0.3641, w(A10) = 0.2606, w(A11) = 0.9765, w(A12) = -0.9291, w(A13) = -0.5874, output = 0.2084
After iteration 145: w(A1) = 0.4205, w(A2) = 0.5881, w(A3) = 0.1586, w(A4) = 0.2692, w(A5) = -0.0478, w(A6) = 0.0159, w(A7) = -0.4405, w(A8) = -0.1299, w(A9) = 0.3641, w(A10) = 0.3087, w(A11) = 1.0247, w(A12) = -0.9291, w(A13) = -0.5392, output = 0.7739
After iteration 146: w(A1) = 0.4681, w(A2) = 0.6357, w(A3) = 0.2062, w(A4) = 0.3168, w(A5) = -0.0478, w(A6) = 0.0159, w(A7) = -0.3929, w(A8) = -0.0823, w(A9) = 0.4117, w(A10) = 0.3563, w(A11) = 1.0247, w(A12) = -0.9291, w(A13) = -0.4916, output = 0.8066
After iteration 147: w(A1) = 0.4888, w(A2) = 0.6357, w(A3) = 0.2062, w(A4) = 0.3375, w(A5) = -0.0271, w(A6) = 0.0365, w(A7) = -0.3929, w(A8) = -0.0617, w(A9) = 0.4324, w(A10) = 0.3563, w(A11) = 1.0453, w(A12) = -0.9291, w(A13) = -0.4710, output = 0.8558
After iteration 148: w(A1) = 0.4201, w(A2) = 0.6357, w(A3) = 0.2062, w(A4) = 0.2688, w(A5) = -0.0958, w(A6) = 0.0365, w(A7) = -0.3929, w(A8) = -0.1304, w(A9) = 0.4324, w(A10) = 0.3563, w(A11) = 1.0453, w(A12) = -0.9978, w(A13) = -0.5397, output = 0.2545
After iteration 149: w(A1) = 0.3015, w(A2) = 0.6357, w(A3) = 0.0877, w(A4) = 0.2688, w(A5) = -0.2144, w(A6) = -0.0820, w(A7) = -0.5114, w(A8) = -0.1304, w(A9) = 0.3139, w(A10) = 0.3563, w(A11) = 0.9268, w(A12) = -1.1164, w(A13) = -0.6582, output = 0.2784
After iteration 150: w(A1) = 0.4005, w(A2) = 0.7346, w(A3) = 0.0877, w(A4) = 0.3677, w(A5) = -0.1154, w(A6) = 0.0169, w(A7) = -0.4125, w(A8) = -0.1304, w(A9) = 0.4128, w(A10) = 0.4553, w(A11) = 1.0257, w(A12) = -1.0174, w(A13) = -0.5593, output = 0.7873
After iteration 151: w(A1) = 0.4005, w(A2) = 0.7462, w(A3) = 0.0877, w(A4) = 0.3793, w(A5) = -0.1154, w(A6) = 0.0169, w(A7) = -0.4125, w(A8) = -0.1304, w(A9) = 0.4244, w(A10) = 0.4553, w(A11) = 1.0373, w(A12) = -1.0174, w(A13) = -0.5477, output = 0.8849
After iteration 152: w(A1) = 0.2678, w(A2) = 0.7462, w(A3) = 0.0877, w(A4) = 0.2466, w(A5) = -0.2481, w(A6) = 0.0169, w(A7) = -0.4125, w(A8) = -0.1304, w(A9) = 0.4244, w(A10) = 0.3226, w(A11) = 1.0373, w(A12) = -1.0174, w(A13) = -0.6803, output = 0.4772
After iteration 153: w(A1) = 0.2678, w(A2) = 0.7098, w(A3) = 0.0513, w(A4) = 0.2466, w(A5) = -0.2845, w(A6) = -0.0195, w(A7) = -0.4489, w(A8) = -0.1668, w(A9) = 0.3880, w(A10) = 0.3226, w(A11) = 1.0373, w(A12) = -1.0539, w(A13) = -0.7168, output = 0.1764
After iteration 154: w(A1) = 0.2678, w(A2) = 0.7098, w(A3) = 0.0513, w(A4) = 0.2044, w(A5) = -0.3267, w(A6) = -0.0195, w(A7) = -0.4489, w(A8) = -0.1668, w(A9) = 0.3458, w(A10) = 0.2804, w(A11) = 1.0373, w(A12) = -1.0961, w(A13) = -0.7590, output = 0.2057
After iteration 155: w(A1) = 0.2976, w(A2) = 0.7396, w(A3) = 0.0811, w(A4) = 0.2342, w(A5) = -0.2970, w(A6) = -0.0195, w(A7) = -0.4191, w(A8) = -0.1668, w(A9) = 0.3756, w(A10) = 0.3102, w(A11) = 1.0671, w(A12) = -1.0961, w(A13) = -0.7292, output = 0.8402
After iteration 156: w(A1) = 0.2976, w(A2) = 0.7396, w(A3) = 0.2024, w(A4) = 0.2342, w(A5) = -0.2970, w(A6) = 0.1018, w(A7) = -0.4191, w(A8) = -0.0455, w(A9) = 0.4969, w(A10) = 0.4315, w(A11) = 1.0671, w(A12) = -0.9748, w(A13) = -0.6079, output = 0.4024
After iteration 157: w(A1) = 0.4309, w(A2) = 0.8729, w(A3) = 0.3357, w(A4) = 0.2342, w(A5) = -0.2970, w(A6) = 0.2351, w(A7) = -0.2858, w(A8) = 0.0878, w(A9) = 0.4969, w(A10) = 0.4315, w(A11) = 1.0671, w(A12) = -0.8414, w(A13) = -0.4746, output = 0.5892
After iteration 158: w(A1) = 0.4309, w(A2) = 0.8729, w(A3) = 0.3357, w(A4) = 0.2342, w(A5) = -0.3476, w(A6) = 0.1844, w(A7) = -0.2858, w(A8) = 0.0878, w(A9) = 0.4969, w(A10) = 0.3808, w(A11) = 1.0671, w(A12) = -0.8921, w(A13) = -0.5253, output = 0.2315
After iteration 159: w(A1) = 0.3726, w(A2) = 0.8146, w(A3) = 0.3357, w(A4) = 0.2342, w(A5) = -0.3476, w(A6) = 0.1261, w(A7) = -0.2858, w(A8) = 0.0295, w(A9) = 0.4969, w(A10) = 0.3224, w(A11) = 1.0088, w(A12) = -0.8921, w(A13) = -0.5836, output = 0.8899
After iteration 160: w(A1) = 0.2441, w(A2) = 0.6861, w(A3) = 0.2072, w(A4) = 0.1057, w(A5) = -0.3476, w(A6) = 0.1261, w(A7) = -0.4143, w(A8) = -0.0990, w(A9) = 0.4969, w(A10) = 0.3224, w(A11) = 0.8803, w(A12) = -1.0206, w(A13) = -0.7121, output = 0.4694
